Index,Plant_name,scientific_name,class ,order,description,advantages,disadvantages,,Url
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXRjaNnHH4sQQ.9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2QyNTBjNWMyYmYwZmZlOWEyYmNjYmJjNjg5ODk5NWYzBGdwb3MDNQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DBhrami%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D5&w=1500&h=1125&imgurl=m.media-amazon.com%2Fimages%2FI%2F71SLvp6D9dS._SL1500_.jpg&rurl=https%3A%2F%2Fwww.amazon.in%2FGachwala-Brahmi-Medicinal-Ayurvedic-Non-Aromatic%2Fdp%2FB0B1JPYRNQ&size=135KB&p=Bhrami+plant&oid=d250c5c2bf0ffe9a2bccbbc6898995f3&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Gachwala+Brahmi+Herbal+%26+Medicinal+Plant+Live+%2812-18+Strings%29+%7C+Bacopa+...&b=0&ni=160&no=5&ts=&tab=organic&sigr=eQv0yo438Q11&sigb=UR1VumFasICi&sigi=ex1S5xiSh6VS&sigt=J4LbYBeR6vPR&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXsjaNnpbgvmXy9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzllNzgyZTA5MDZhNjk2OTMzZmRlN2VhNWViZTYxOGRhBGdwb3MDOQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DBetel%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D9&w=1255&h=895&imgurl=m.media-amazon.com%2Fimages%2FI%2F71BI-puixYL._SL1255_.jpg&rurl=https%3A%2F%2Fwww.amazon.in%2FAzalea-Garden-Betel-Plant-Medicinal%2Fdp%2FB07DGGQKKZ&size=180KB&p=Betel+plant&oid=9e782e0906a696933fde7ea5ebe618da&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Royal+Paradise+Garden+Rare+Betel+Leaf+Live+Plant+%28Piper+betle+...&b=0&ni=160&no=9&ts=&tab=organic&sigr=cdtqnCXchoUW&sigb=oD8E6eAqWl82&sigi=46.OG0lusaKk&sigt=AcfQCZRIv8y6&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTVijqNn9zIwnUy9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzNlNGJkMGIyZTcxZDU0MzZiMzM0YjRjZGFmYzNhMDk1BGdwb3MDMwRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DBeans%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D3&w=4512&h=3012&imgurl=www.thespruce.com%2Fthmb%2F-NQA_9LSW8_NFVoaYOONIMe6HfI%3D%2F4512x3012%2Ffilters%3Ano_upscale%28%29%3Amax_bytes%28150000%29%3Astrip_icc%28%29%2Fhow-to-grow-green-beans-1403459-07-e46bc629caa74c85b12840385afa83c6.jpg&rurl=https%3A%2F%2Fwww.thespruce.com%2Fhow-to-grow-green-beans-1403459&size=697KB&p=Beans+plant&oid=3e4bd0b2e71d5436b334b4cdafc3a095&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=How+to+Grow+Common+Beans&b=0&ni=160&no=3&ts=&tab=organic&sigr=pSB4AZYcdG51&sigb=fmTifstXydM3&sigi=PPm7Gd5dL3Qp&sigt=Yq8b2xgYMXoM&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFV7jqNnI6QynsO9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzFiYThiNjVmZTQwNzQzOWVlZDJkNmE1YjA5ZjljYjI3BGdwb3MDMTIEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DBamboo%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D12&w=1024&h=768&imgurl=cdn.shopify.com%2Fs%2Ffiles%2F1%2F0059%2F8835%2F2052%2Farticles%2FBamboo_Forest_1024x1024.jpg%3Fv%3D1549698125&rurl=https%3A%2F%2Fwww.fast-growing-trees.com%2Fblogs%2Fblog%2Fbamboo-plants-varieties-that-aren-t-invasive&size=224KB&p=Bamboo+plant&oid=1ba8b65fe407439eed2d6a5b09f9cb27&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Bamboo+Plants%3A+Varieties+That+Aren%E2%80%99t+Invasive+%E2%80%93+FastGrowingTrees.com&b=0&ni=160&no=12&ts=&tab=organic&sigr=WUu4Az_wZgkd&sigb=HN_Zq81bHwUo&sigi=uZfDXDMDeWuN&sigt=R2H3MzZMvG1Y&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWhjqNntBgvFNm9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzI5NTEyOGI5MDMwNGU4M2E3NmVjNGE1MzNiODA4ODZhBGdwb3MDMQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3Dballoon%2Bvine%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dsa-gp-search%26tab%3Dorganic%26ri%3D1&w=800&h=530&imgurl=www.healthbenefitstimes.com%2F9%2Fgallery%2Fballoon-vine%2FBalloon-Vine-plant.jpg&rurl=https%3A%2F%2Fwww.healthbenefitstimes.com%2Fballoon-vine%2F&size=116KB&p=balloon+vine+plant&oid=295128b90304e83a76ec4a533b80886a&fr2=sa-gp-search&fr=mcafee&tt=Balloon+Vine+facts+and+health+benefits&b=0&ni=160&no=1&ts=&tab=organic&sigr=O6_v0uKX1KDX&sigb=jPR.NKfOCFuK&sigi=LBbFgwosbnu4&sigt=Mlhrq84LBdiF&.crumb=OZmGiL3vF57&fr=mcafee&fr2=sa-gp-search&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/search/images;_ylt=Awr1QgPyjqNnPgIA61m7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E210IN1589G0&p=asthma+weed+plant+images+identification&fr=mcafee&th=355&tw=474&imgurl=http%3A%2F%2Fwww.flowersofindia.net%2Fcatalog%2Fslides%2FAsthma%2520Weed.jpg&rurl=https%3A%2F%2Fproper-cooking.info%2Fweeds-plants-names&size=52KB&name=Weeds+Plants+Names&oid=3&h=450&w=600&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.j5h0n-S_9sA2dWVjX7L2KQHaFj%26pid%3DApi&tt=Weeds+Plants+Names&sigr=zohp97_vG4.9&sigit=zXBkKk9G7ima&sigi=NDjeLjFXNZ_2&sign=VS6KxAm1bNpi&sigt=VS6KxAm1bNpi
,,,,,,,,,https://in.images.search.yahoo.com/search/images;_ylt=Awr1QgMKj6NnDAIAQHW7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E210IN1589G0&p=Arali+plant&fr=mcafee&th=314&tw=474&imgurl=https%3A%2F%2Fwww.mydomaine.com%2Fthmb%2FMGAjwxfxo_ND4G6gJkdHhrH_FVc%3D%2F4912x3264%2Ffilters%3Ano_upscale%28%29%3Amax_bytes%28150000%29%3Astrip_icc%28%29%2FGettyImages-1284251689-c338af6344ef46aeb1d5de4698d971cf.jpg&rurl=https%3A%2F%2Fwww.mydomaine.com%2Faralia-5116518&size=311KB&name=How+to+Grow+and+Care+for+Aralia+Plant&oid=1&h=3264&w=4912&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.qqw-BbPIu7xFdlkl7gyw1wHaE6%26pid%3DApi&tt=How+to+Grow+and+Care+for+Aralia+Plant&sigr=K.cWdvrGrpFn&sigit=F8DGZn6NyeRP&sigi=2Azr91ra7wRk&sign=CeVb.uOhA6qI&sigt=CeVb.uOhA6qI
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTUzj6Nn8_8roFy9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzdjNjU4M2Y1YzA1NmJmZmFhOTRhZDA2ZjUzYTVhODU1BGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DAmruthaballi%2Bplant%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dpiv-web%26tab%3Dorganic%26ri%3D4&w=1236&h=1600&imgurl=2.bp.blogspot.com%2F_0aojOpQUSUY%2FTSs9wisaj2I%2FAAAAAAAAEgc%2FLk9RlPsdxe0%2Fs1600%2Famruta%252Bballi.jpg&rurl=http%3A%2F%2Fkonkanifoodie.blogspot.com%2F2011%2F01%2Famruta-balli-giloy-guduchi.html&size=196KB&p=Amruthaballi+plant&oid=7c6583f5c056bffaa94ad06f53a5a855&fr2=piv-web&fr=mcafee&tt=Konkani+Foodie%3A+Amruta+Balli+%28Giloy%2F+Guduchi%29&b=0&ni=21&no=4&ts=&tab=organic&sigr=2mIzxnAI8il0&sigb=QuNjBX4b.03R&sigi=Ir34ThFCKd6N&sigt=iJGaiaYtTaQZ&.crumb=OZmGiL3vF57&fr=mcafee&fr2=piv-web&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFVTj6NnO0M3hoi9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2Q3ZTE5ZTE1ZTkxZWMwNzAzYTk1ZDkyMWUzOTcwODA3BGdwb3MDMQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DKambajala%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D1&w=1600&h=900&imgurl=cdn.mos.cms.futurecdn.net%2FmmrjcWoheuvmnucbNy246i.jpg&rurl=https%3A%2F%2Fwww.homesandgardens.com%2Fgardens%2Fhow-to-grow-chickpeas&size=489KB&p=Kambajala+plant&oid=d7e19e15e91ec0703a95d921e3970807&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=How+to+grow+chickpeas%3A+expert+tips+to+grow+garbanzo+beans+%7C+Homes+%26+Gardens&b=0&ni=160&no=1&ts=&tab=organic&sigr=m70nJ0Qft0oO&sigb=10Bj1cXwVF1x&sigi=lUF3.UQIXf6i&sigt=PM9eyxp_aTFY&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFVTj6NnO0M3hoi9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2Q3ZTE5ZTE1ZTkxZWMwNzAzYTk1ZDkyMWUzOTcwODA3BGdwb3MDMQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DKambajala%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D1&w=1600&h=900&imgurl=cdn.mos.cms.futurecdn.net%2FmmrjcWoheuvmnucbNy246i.jpg&rurl=https%3A%2F%2Fwww.homesandgardens.com%2Fgardens%2Fhow-to-grow-chickpeas&size=489KB&p=Kambajala+plant&oid=d7e19e15e91ec0703a95d921e3970807&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=How+to+grow+chickpeas%3A+expert+tips+to+grow+garbanzo+beans+%7C+Homes+%26+Gardens&b=0&ni=160&no=1&ts=&tab=organic&sigr=m70nJ0Qft0oO&sigb=10Bj1cXwVF1x&sigi=lUF3.UQIXf6i&sigt=PM9eyxp_aTFY&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFWLkKNnnv82zNG9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzIxNDAzOWI0NWQwMjI1OGY1ZDdiOWEzNjdhZjBiYjI0BGdwb3MDOQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DJasmine%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D9&w=1917&h=1917&imgurl=cdn.shopify.com%2Fs%2Ffiles%2F1%2F1419%2F7120%2Fproducts%2FPhilippine_Jasmine-1.ETGB.jpg%3Fv%3D1571439551&rurl=https%3A%2F%2Fwww.easytogrowbulbs.com%2Fcollections%2Ffragrant-flowers%2Fproducts%2Fjasmine-philippine-sweetly-scented&size=453KB&p=Jasmine+plant&oid=214039b45d02258f5d7b9a367af0bb24&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Potted+White+Jasmine+Plant+For+Sale+%7C+Philippine+Jasmine+%E2%80%93+Easy+To+Grow+...&b=0&ni=160&no=9&ts=&tab=organic&sigr=IfL8c.y6LEpF&sigb=LXc1Odkml5ah&sigi=Wko90uEYTE1B&sigt=Pnpb_4shMA2o&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFUXkaNnAFo46Ce9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzYxYmY0YTA2ZGFiMGY3ZDJmOTI5MDk5ZjAyM2M0MWU1BGdwb3MDMwRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DInsulin%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D3&w=1920&h=1280&imgurl=plantlet.org%2Fwp-content%2Fuploads%2F2021%2F08%2F1920px-IMG_2256-Chamaecostus_cuspidatus.jpg&rurl=https%3A%2F%2Fplantlet.org%2Finsulin-plant-our-home-remedy-for-diabetes%2F&size=248KB&p=Insulin+plant&oid=61bf4a06dab0f7d2f929099f023c41e5&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Insulin+Plant%3A+Our+Home+Remedy+for+Diabetes+%3A+Plantlet&b=0&ni=160&no=3&ts=&tab=organic&sigr=yBPwsAfvBzmK&sigb=bZLe6cyrfowh&sigi=ouYnMYUrNSlS&sigt=12Y98KGzoBr0&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
